batter,batsman_runs,impact_score,pressure_score,momentum,is_wicket,player_rating
Tilak Varma,1760,2.5188976377952756,1.0094488188976378,1.2700787401574802,48,617.0856299212599
P Simran Singh,1737,3.3248686514886163,0.5840630472854641,1.308231173380035,61,609.1596760070051
KK Nair,1712,2.902027027027027,0.8295795795795796,1.06006006006006,74,600.3034346846846
Mandeep Singh,1706,2.771861777150917,1.0627644569816643,0.9534555712270804,85,598.1962094499294
MK Tiwary,1695,2.0916722632639355,1.280053727333781,0.9885829415715245,61,594.2266453995969
KC Sangakkara,1687,2.6309691011235956,0.7148876404494382,1.0077247191011236,69,591.452264747191
JM Bairstow,1674,2.8911939034716343,0.5867908552074513,1.265029635901778,50,586.9931625740896
AK Markram,1671,2.672863924050633,0.7958860759493671,1.1447784810126582,55,585.9063488924049
MR Marsh,1669,2.8917785234899327,0.8078859060402684,1.2307046979865772,57,585.2806627516778
SO Hetmyer,1566,2.432882882882883,2.0243243243243243,1.2306306306306307,59,549.3592117117116
DJ Bravo,1560,2.3821170809943863,1.7554129911788292,1.0529270248596632,69,547.1571972734562
NV Ojha,1554,2.4665441176470586,1.2154411764705881,0.9367647058823529,74,544.9470772058822
VR Iyer,1509,2.7278314310798946,0.7576821773485514,1.1685689201053555,51,529.2172080772607
TM Head,1507,3.349676724137931,0.5969827586206896,1.4612068965517242,45,528.6990571120689
DJ Hooda,1497,2.8998351195383347,1.282769991755977,0.955482275350371,82,525.1226092333059
SS Tiwary,1494,2.125484120836561,1.1572424477149497,1.0278853601859024,50,523.8683965917893
RM Patidar,1448,3.154535864978903,0.6993670886075949,1.3776371308016877,46,508.00403481012654
S Badrinath,1441,2.147389558232932,1.1052208835341366,1.0240963855421688,48,505.31271084337345
EJG Morgan,1406,2.4208298052497885,1.3124470787468248,1.008467400508044,61,493.16939034716336
BJ Hodge,1400,2.1105810928013877,1.4163052905464006,1.0815264527320034,46,491.027211621856
RK Singh,1389,2.279279279279279,1.7147147147147148,1.2492492492492493,42,487.3126126126126
SC Ganguly,1349,2.166289592760181,0.755656108597285,0.9004524886877828,54,473.0227941176471
CA Lynn,1329,2.759240246406571,0.5770020533880903,1.2207392197125257,39,466.1993583162218
DJ Hussey,1322,2.379200726612171,1.0690281562216166,1.0345140781108084,49,463.71550862851956
